"";"Variable";"ICC1";"ICC2";"label"
"1";"y22";0,338;0,99;""
"2";"y23";0,385;0,992;""
"3";"y26";0,421;0,993;""
"4";"y27";0,318;0,989;""
"5";"y9";0,326;0,99;""
"6";"y19";0,379;0,992;""
"7";"y4";0,525;0,995;""
"8";"y5";0,531;0,996;""
"9";"y1";0,505;0,995;""
"10";"y21";0,319;0,989;""
"11";"C1_2";0,078;0,943;""
"12";"C1_7";0,071;0,937;""
"13";"C1_8";0,477;0,994;""
"14";"C1_1";0,266;0,986;""
"15";"C1_3";0,205;0,981;""
"16";"C1_4";0,479;0,994;""
"17";"C1_5";0,054;0,918;""
"18";"C1_6";0,137;0,969;""
"19";"C1_10";0,428;0,993;""
"20";"C1_11";0,48;0,995;""
